"","scientific_name","taxa_data.kingdom.i.","taxa_data.class.i.","taxa_data.order.i.","RN","original","taxa_data.family.i.","taxa_data.taxonomicStatus.i.","genus","common"
"1","Euphausia superba","Animalia","Malacostraca","Euphausiacea","3751","Euphausia superba","Euphausiidae","accepted name","Euphausia","Animalia"
"2","Arctocephalus gazella","Animalia","Mammalia","Carnivora","3751","Arctocephalus gazella","Otariidae","accepted name","Arctocephalus","Animalia"
"3","Eudyptes chrysolophus","Animalia","Aves","Sphenisciformes","3751","Eudyptes chrysolophus","Spheniscidae","accepted name","Eudyptes","Animalia"
"4","Jasus edwardsii","Animalia","Malacostraca","Decapoda","3026","Jasus edwardsii","Palinuridae","accepted name","Jasus","Animalia"
"5","Evechinus chloroticus","Animalia","Echinoidea","Camarodonta","3026","Evechinus chloroticus","Echinometridae","accepted name","Evechinus","Animalia"
"6","Parapercis colias","Animalia","Actinopterygii","Perciformes","3026","Parapercis colias","Pinguipedidae","accepted name","Parapercis","Animalia"
"7","Pagrus auratus","Animalia","Actinopterygii","Perciformes","3026","Pagrus auratus","Sparidae","accepted name","Pagrus","Animalia"
"8","Cheilodactylus spectabilis","Animalia","Actinopterygii","Perciformes","3026","Cheilodactylus spectabilis","Cheilodactylidae","accepted name","Cheilodactylus","Animalia"
"9","Calanus finmarchicus","Animalia","Maxillopoda","Calanoida","1520","Calanus finmarchicus","Calanidae","accepted name","Calanus","Calanus"
"10","Calanus finmarchicus","Animalia","Maxillopoda","Calanoida","1520","C. finmarchicus","Calanidae","accepted name","Calanus","Calanus"
"11","Sarcoptes scabiei","Animalia","Arachnida","Astigmata","3909","Sarcoptes scabiei","Sarcoptidae","accepted name","Sarcoptes","Animalia"
"12","Vombatus ursinus","Animalia","Mammalia","Diprotodontia","3909","Vombatus ursinus","Vombatidae","accepted name","Vombatus","Animalia"
"13","Trichostrongylus tenuis","Animalia","Secernentea","Strongylida","1640","Trichostrongylus tenuis","Trichostrongylidae","accepted name","Trichostrongylus","Animalia"
"14","Lagopus lagopus","Animalia","Aves","Galliformes","1640","Lagopus lagopus","Phasianidae","accepted name","Lagopus","Animalia"
"15","Ameerega planipaleae","Animalia","Amphibia","Anura","4537","Ameerega planipaleae","Dendrobatidae","accepted name","Ameerega","Ameerega planipaleae"
"16","Eleutherodactylus coqui","Animalia","Amphibia","Anura","1954","Eleutherodactylus coqui","Eleutherodactylidae","accepted name","Eleutherodactylus","Eleutherodactylus"
"17","Eleutherodactylus coqui","Animalia","Amphibia","Anura","1954","E. coqui","Eleutherodactylidae","accepted name","Eleutherodactylus","Eleutherodactylus"
"18","Hyla arborea","Animalia","Amphibia","Anura","2944","Hyla arborea","Hylidae","accepted name","Hyla","Hyla arborea"
"19","Elachistocleis ovalis","Animalia","Amphibia","Anura","4486","Elachistocleis ovalis","Microhylidae","accepted name","Elachistocleis","Elachistocleis ovalis"
"20","Bolitoglossa minutula","Animalia","Amphibia","Caudata","1224","Bolitoglossa minutula","Plethodontidae","accepted name","Bolitoglossa","Amphibia"
"21","Atelopus chiriquiensis","Animalia","Amphibia","Anura","1224","Atelopus chiriquiensis","Bufonidae","accepted name","Atelopus","Amphibia"
"22","Atelopus chiriquiensis","Animalia","Amphibia","Anura","1224","A. chiriquiensis","Bufonidae","accepted name","Atelopus","Amphibia"
"23","Desmognathus fuscus","Animalia","Amphibia","Caudata","1929","Desmognathus fuscus","Plethodontidae","accepted name","Desmognathus","Desmognathus fuscus"
"24","Gyrinophilus porphyriticus","Animalia","Amphibia","Caudata","3075","Gyrinophilus porphyriticus","Plethodontidae","accepted name","Gyrinophilus","Gyrinophilus"
"25","Gyrinophilus porphyriticus","Animalia","Amphibia","Caudata","3075","G. porphyriticus","Plethodontidae","accepted name","Gyrinophilus","Gyrinophilus"
"26","Gyrinophilus porphyriticus","Animalia","Amphibia","Caudata","4556","Gyrinophilus porphyriticus","Plethodontidae","accepted name","Gyrinophilus","Gyrinophilus porphyriticus"
"27","Bufo bufo","Animalia","Amphibia","Anura","1294","Bufo bufo","Bufonidae","accepted name","Bufo","Bufo bufo"
"28","Hemisus marmoratus","Animalia","Amphibia","Anura","2394","Hemisus marmoratus","Hemisotidae","accepted name","Hemisus","Hemisus marmoratus"
"29","Ambystoma talpoideum","Animalia","Amphibia","Caudata","1273","Ambystoma talpoideum","Ambystomatidae","accepted name","Ambystoma","Ambystoma talpoideum"
"30","Leiopelma hamiltoni","Animalia","Amphibia","Anura","4022","Leiopelma hamiltoni","Leiopelmatidae","accepted name","Leiopelma","Leiopelma"
"31","Leiopelma hamiltoni","Animalia","Amphibia","Anura","4022","L. hamiltoni","Leiopelmatidae","accepted name","Leiopelma","Leiopelma"
"32","Rana temporaria","Animalia","Amphibia","Anura","1304","Rana temporaria","Ranidae","accepted name","Rana","Rana temporaria"
"33","Rana temporaria","Animalia","Amphibia","Anura","1225","Rana temporaria","Ranidae","accepted name","Rana","Rana temporaria"
"34","Rana sierrae","Animalia","Amphibia","Anura","4527","Rana sierrae","Ranidae","accepted name","Rana","Rana"
"35","Rana sierrae","Animalia","Amphibia","Anura","4527","R. sierrae","Ranidae","accepted name","Rana","Rana"
"36","Ambystoma cingulatum","Animalia","Amphibia","Caudata","79","Ambystoma cingulatum","Ambystomatidae","accepted name","Ambystoma","Ambystoma cingulatum"
"37","Cryptobranchus alleganiensis","Animalia","Amphibia","Caudata","1763","Cryptobranchus alleganiensis","Cryptobranchidae","accepted name","Cryptobranchus","Cryptobranchus alleganiensis"
"38","Salamandra salamandra","Animalia","Amphibia","Caudata","1354","Salamandra salamandra","Salamandridae","accepted name","Salamandra","Salamandra salamandra"
"39","Philornis downsi","Animalia","Insecta","Diptera","4131","Philornis downsi","Muscidae","accepted name","Philornis","Animalia"
"40","Camarhynchus parvulus","Animalia","Aves","Passeriformes","4131","Camarhynchus parvulus","Thraupidae","accepted name","Camarhynchus","Animalia"
"41","Certhidea olivacea","Animalia","Aves","Passeriformes","4131","Certhidea olivacea","Thraupidae","accepted name","Certhidea","Animalia"
"42","Philornis downsi","Animalia","Insecta","Diptera","4131","P. downsi","Muscidae","accepted name","Philornis","Animalia"
"43","Ocypode quadrata","Animalia","Malacostraca","Decapoda","3066","Ocypode quadrata","Ocypodidae","accepted name","Ocypode","Animalia"
"44","Dasypus novemcinctus","Animalia","Mammalia","Cingulata","3066","Dasypus novemcinctus","Dasypodidae","accepted name","Dasypus","Animalia"
"45","Procyon lotor","Animalia","Mammalia","Carnivora","3066","Procyon lotor","Procyonidae","accepted name","Procyon","Animalia"
"46","Quiscalus major","Animalia","Aves","Passeriformes","3066","Quiscalus major","Icteridae","accepted name","Quiscalus","Animalia"
"47","Corvus ossifragus","Animalia","Aves","Passeriformes","3066","Corvus ossifragus","Corvidae","accepted name","Corvus","Animalia"
"48","Malaclemys terrapin","Animalia","Reptilia","Testudines","3066","Malaclemys terrapin","Emydidae","accepted name","Malaclemys","Animalia"
