,RN,Title_eng,AB_eng
0,669,Synchrony in Svalbard reindeer population dynamics,"We examined potential synchrony in the growth rates of three Svalbard reindeer (Rangifer tarandus platyrhynchus) populations and tested whether this pattern may result from correlated environmental variation. Two neighbouring populations had synchronized dynamics during the study period, while a more distant population showed different temporal variation. Climatic forcing (the Moran effect) was a likely synchronizing mechanism in combination with contrasting density-dependence patterns between the synchronous and asynchronous populations. Local climate was a more important synchronizing agent than a regional climate index (the Arctic Oscillation). Nevertheless, our results also suggest that variation in climate at a large scale may be important. Based on indirect measurements of dispersal/migration, our findings indicate that this factor does not play a key role in the spatial synchrony of Svalbard reindeer population dynamics."
1,2987,Density-Dependent Spillover from a Marine Reserve: Long-Term Evidence,"Spillover, the net export of adult fish, is one mechanism by which no-take marine reserves may eventually have a positive influence on adjacent fisheries. Although evidence for spillover has increased recently, mechanisms inducing movement of adult fish from reserve to fished areas are poorly understood. While density-dependent export is a reasonable expectation, given that density of fish targeted by fisheries should increase over time inside well-protected no-take reserves, no study to date has demonstrated development of the process. This study provides evidence consistent with density-dependent export of a planktivorous reef fish, Naso vlamingii, from a small no-take reserve (protected for 20 years) at Apo Island, Philippines. Mean density of N. vlamingii increased threefold inside the reserve between 1983 and 2003. Density approached an asymptote inside the reserve after 15-20 years of protection. Modal size in the reserve increased from 35 to 45 cm total length (TL) over 20 years of protection. In addition, both density and modal size increased outside the reserve close to (200-300 m), but not farther from (300-500 m), the reserve boundary over the 20 years of reserve protection. Movement of adult N. vlamingii across the boundaries of the reserve was rare. Aggressive interactions among adult N. vlamingii were significantly higher (by 3.7 times) inside than outside the reserve. This suggests that density-dependent interactions were more intense inside the reserve. When interacting adults differed in size, the larger individual usually chased away the smaller one. Furthermore, the mean size of adult fish captured by experimental fishing decreased from 35-cm TL 50-100 m outside the boundary, to 32-cm TL 250-300 m outside the boundary. This represents some of the best evidence available for density-dependent home-range relocation of fish from a no-take reserve. "
2,2352,"Rapid population declines of Himalayan Griffon Gyps himalayensis in Upper Mustang, Nepal","The population collapse of resident Gyps vulture species in South Asia, caused by the use of a veterinary drug diclofenac, has highlighted an urgent need to monitor numbers of other vulture species in the region. This study assessed population trends of Himalayan Griffon Gyps himalayensis in the mountainous region of Upper Mustang, Nepal, which is an important breeding area for the species. Vultures were surveyed in 2002, 2004 and 2005 by recording the number of birds sighted along 188 km of transects, and observing numbers of birds at breeding colonies. The number of birds recorded per day and per kilometre of transect declined by 67% and 70% respectively over the period of study. The number of active nests declined by 84% from 2002 to 2005. The veterinary drug diclofenac was available in pharmacies in the Mustang region. Young Himalayan Griffons, which migrate to the lowland areas of Nepal and, in increasing numbers to India, are highly likely to be subject to diclofenac poisoning. If this rate of population decline occurs throughout the Himalayan region, the conservation status of the species will need to be urgently reassessed. "
3,4246,Conservation and Population Recovery of Gharials (Gavialis gangeticus) in Nepal,"The remnant populations of Gharials, Gavialis gangeticus, are now confined to the large, deep rivers of northern India and Nepal. In lowland Nepal, the populations are restricted to a few stretches of the Narayani-Rapti and Karnali-Babai river systems. Periodic censuses of the wild populations have been made over the past 12 yr. Here, we present population trends of Gharials in the Narayani, Rapti, and Babai rivers based on these surveys. The results indicate that the combined numbers of adults and subadults have been gradually increasing since 2005, but the numbers of adults are low and female biased, with very few males recorded from all study sites. In 1978, Nepal established a captive breeding center in Chitwan National Park, from which captive-bred animals have been periodically released 4-7 yr after hatching, at which time the animals are about 1.5 m total length. The detection of hatchlings and subadult classes that are smaller than these released animals in the rivers indicates that there is natural recruitment. Therefore, collecting all nests for ex-situ breeding might not be the best strategy until more rigorous field assessments are completed to determine the relative contributions of captive-bred versus natural recruitment. We suggest that more effort should be channeled toward field assessments, including mapping and monitoring habitat availability, habitat management to ensure necessary environmental flows to create sand banks and deep pools, and research to better understand the ecology and behavior of Gharials in Nepal's rivers."
4,1742,"Population status of North American green sturgeon, Acipenser medirostris","North American green sturgeon, Acipenser medirostris, was petitioned for listing under the Endangered Species Act (ESA). The two questions that need to be answered when considering an ESA listing are; (1) Is the entity a species under the ESA and if so (2) is the ""species"" in danger of extinction or likely to become an endangered species in the foreseeable future throughout all or a significant portion of its range? Green sturgeon genetic analyses showed strong differentiation between northern and southern populations, and therefore, the species was divided into Northern and Southern Distinct Population Segments (DPSs). The Northern DPS includes populations in the Rogue, Klamath-Trinity, and Eel rivers, while the Southern DPS only includes a single population in the Sacramento River. The principal risk factors for green sturgeon include loss of spawning habitat, harvest, and entrainment. The Northern DPS is not considered to be in danger of extinction or likely to become an endangered species in the foreseeable future. The loss of spawning habitat is not large enough to threaten this DPS, although the Eel River has been severely impacted by sedimentation due to poor land use practices and floods. The two main spawning populations in the Rogue and Klamath-Trinity rivers occupy separate basins reducing the potential for loss of the DPS through catastrophic events. Harvest has been substantially reduced and green sturgeon in this DPS do not face substantial entrainment loss. However there are significant concerns due to lack of information, flow and temperature issues, and habitat degradation. The Southern DPS is considered likely to become an endangered species in the foreseeable future. Green sturgeon in this DPS are concentrated into one spawning area outside of their natural habitat in the Sacramento River, making them vulnerable to catastrophic extinction. Green sturgeon spawning areas have been lost from the area above Shasta Dam on the Sacramento River and Oroville Dam on the Feather River. Entrainment of individuals into water diversion projects is an additional source of risk, and the large decline in numbers of green sturgeon entrained since 1986 causes additional concern. "
5,3490,Analysis of Atlantic bluefin tuna catches from the last Tonnara in the Mediterranean Sea: 1993-2010,"In the last 20 years, several factors have heavily impacted the Atlantic bluefin tuna fishery. They include management policies, market changes, the ban of the drift-net fishery, expansion of the modern purse seine fleet, and implementation of a stock recovery plan. To enhance current knowledge about the population's status, we conducted a long-term analysis (1993-2010) of scientific data and standardized catch-per-unit-of-effort (CPUE) from the traditional trap fishery of Sardinia (Western Mediterranean, Italy), which is the last active bluefin trap fishery in the Mediterranean. We detected a significant increase of the standardized CPUE and a significant decrease in mean weight over time. Cluster analysis conducted on 29,000 specimens revealed three different size groups that were distinct by time period: the 1993-1995 period was characterized by a significant presence of large bluefin; a decrease in mean weight occurred in the 1996-2006 period; and 2007-2010 was characterized by the prevalence of young adults in the history in the trap fishery. This trend, which needs to be confirmed over longer time and spatial scales, raises some ecological questions. In particular, is the occurrence of these young adults a consequence of changes in the migratory behavior of bluefin tuna in the Mediterranean, or does it reflect the actual demography of this population? The results of this study emphasize that data from traditional traps provide valuable long term scientific information about population parameters through time, and thus the use of traps as monitoring stations should continue in the future. "
6,4616,Coastal Fish Monitoring in Baltic Reference Areas 2000,"The fifth annual report on monitoring of Baltic coastal fish presents the development and dissimilarity over time compared to the first years catches of the fish communities in six international reference areas; Kvädöfjärden at the Swedish coast of the Baltic Proper, Hiiumaa in the Estonian Sea of Straits, Brunskär in the Archipelago Sea, Finbo at north-western Åland, Holmöarna in the northern Quark and Råneå in the Bothnian Bay, and one regional reference area, Curonian Lagoon in Lithuania. Year-class strength of female perch and the development of reproduction indexes of viviparous blenny are also discussed. Dissimilarity patterns of the fish communities were not found tobe similar among the reference areas. A significant increase of the dissimilarity index was found at Brunskär reference area and a significant decrease was found at Holmöarna reference area. The increase at Brunskär indicated enhanced eutrophication and the decrease in Holmöarna was caused by strong year-classes in the beginning of the monitoring period. Instable fish communities appeared at Curonian Lagoon and Råneå reference areas, the former probably as a result of improved control of anthropogenic effluent to the lagoon and the latter probably as a result of natural environmental variations such as temperature, currents and weather conditions.  Year-class strength showed a similar annual variation pattern in the south-western archipelago of Finland, Åland archipelago and northern Quark. The pattern deviated at the other areas, except that year-class 1988 was strong in all areas. Indications of improved reproduction of viviparous blenny were found in Kvädöfjärden, Finbo and Holmöarna reference area. ; "
7,3620,Ecological and life history traits of Hemiodus orthonops in the invasion process: looking for clues at home,"The understanding of the environmental preferences and life history of a species in its native range provides insights for assessing its potential success in a novel area. Hemiodus orthonops is a migratory fish from the Paraguay and Middle Paraná rivers that invaded the Upper Paraná River through a fish pass, constructed in 2002. The invasion of this fish was analyzed based on habitat attributes and its life history in the native range and in the novel habitats. The native and novel habitats presented similar features. The population showed exponential growth in the years following the invasion, with relevant alterations in somatic growth, proportions of items in the diet, and in reproductive investment. The successful invasion appears to be related to similarities in water chemistry and habitat types between the native and novel range and the species' high dispersion ability. The species also showed earlier maturation and use of poor quality, but highly available feeding resources. Comparing life histories there was indication of a trade-off between investment in reproduction and somatic growth, with an increase in the latter in the novel habitats. In addition, the reproductive investment was more associated with offspring survival (oocyte size) than fecundity."
8,3608,"Observation of an invasion of the piranha Serrasalmus marginatus Valenciennes, 1847 (Osteichthyes, Serrasalmidae) into the Upper Paraná River, Brazil","The building of Itaipu Dam, 150 km downstream from Sete Quedas Falls, resulted in the natural geographical barrier drowning, with subsequent mixing of the fish faunas. Serrasalmus marginatus (Osteichthyes, Serrasalmidae), a species that had been restricted to the river segment downstream from Sete Quedas, invaded the Upper Paraná River. The catching of Serrasalmus spilopleura, a resident species, decreased drastically after the invasion, contrary to S. marginatus, which increased in abundance. In the Piquiri River, where the latter species does not occur, the abundance of S. spilopleura remained high, due to the presence of Nhá Bárbara and Apertado Falls."
9,4136,,"Sharks have been important as seafood source and fisheries revenue in Cuba. Nevertheless, current information about this group of fishes in Cuba is scarce and in the last decades they have not been the focus of any organized research. From October 2009 to June 2011, fisheries and biological (229 sharks examined) data were collected at four landing sites in the northwest of Cuba. At present, there is no organized fishery specifically targeting only sharks along the northwest coast of Cuba, but they are caught as a component of multispecies fisheries on the insular shelf and as bycatch in longline fisheries targeting billfishes. We registered a total of 17 species, six in the commercial fishery, dominated by Carcharhinus perezii, Sphyrna mokarran, and Carcharhinus leucas, and 14 in the sport fishery (i.e., small-scale artisanal, not recreational properly), dominated by Isurus oxyrinchus, Isurus paucus, Carcharhinus longimanus, Carcharhinus falciformis, Galeocerdo cuvier and Prionace glauca. Mean CPUE by months in sport fishing varied from 0.43 to 4.44 number of sharks caught per ten fishing trips. Most oceanic sharks caught in the Cuban sport fisheries are highly migratory species and their populations show great ecological connectivity throughout the Gulf of Mexico and adjacent waters. This fact and the presence of a high proportion of individuals of C. longimanus and C. falciformis below maturity size are important results to be considered for regional conservation of sharks and planning rational use of shark fisheries."
