"","RN","Trend_01_60","Trend_02_60","Trend_05_60","Trend_01_maj","Trend_02_maj","Trend_05_maj","Trend_sig_01_60","Trend_sig_005_60","Trend_sig_01_maj","Trend_sig_005_maj","av_lmbd","loCI","upCI","se","p","N","Trend_meta_01","Trend_meta_005"
"1",1,"Varied","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable",0.0084554690963791,0.00240245774163263,0.0145084804511256,0.00308832784810938,0.0061836753644783,24,"Increase","Increase"
"2",2,"Varied","Stable","Stable","Decline","Stable","Stable","Stable","Stable","Stable","Stable",-0.028683010218891,-0.047531459465269,-0.00983456097251298,0.00961673244766342,0.00285797278712383,12,"Decline","Decline"
"3",3,"Stable","Stable","Stable","Stable","Stable","Stable","Increase","Increase","Increase","Increase",0.00301541022551441,0.00166297094267762,0.00436784950835119,NA,5.16576220608126e-05,1,"Increase","Increase"
"4",4,"Increase","Stable","Stable","Increase","Stable","Stable","Stable","Stable","Stable","Stable",0.0115142047712897,NA,NA,NA,NA,1,"Stable","Stable"
"5",5,"Varied","Stable","Stable","Stable","Stable","Stable","Varied","Varied","Stable","Stable",-0.0051233187596714,-0.0139104845111938,0.00366384699185098,0.00448333021465416,0.253143037627634,10,"Stable","Stable"
"6",19,"Decline","Decline","Decline","Decline","Decline","Decline","Decline","Stable","Decline","Stable",-0.0579306879888347,-0.138523360860265,0.0226619848825958,NA,0.0905666675031013,1,"Decline","Stable"
"7",36,"Increase","Increase","Stable","Increase","Increase","Stable","Increase","Increase","Increase","Increase",0.040307889776074,0.0152993013325159,0.065316478219632,NA,0.00896940126255826,1,"Increase","Increase"
"8",45,"Varied","Varied","Stable","Varied","Stable","Stable","Varied","Varied","Varied","Varied",-0.00292312772127442,-0.0294293506532079,0.0235830952106591,0.0135238316321173,0.828873620967549,3,"Stable","Stable"
"9",79,"Decline","Decline","Stable","Decline","Decline","Stable","Decline","Stable","Decline","Stable",-0.0467881179597566,-0.123169015410047,0.029592779490534,NA,0.0813468521864932,1,"Decline","Stable"
"10",89,"Varied","Stable","Stable","Varied","Stable","Stable","Stable","Stable","Stable","Stable",-0.0154386606761926,-0.453699930964483,0.422822609612098,0.223606797749979,0.944954763655278,4,"Stable","Stable"
"11",93,"Varied","Varied","Stable","Decline","Varied","Stable","Varied","Varied","Decline","Decline",-0.0134446264083498,-0.0256913326228713,-0.00119792019382828,0.00624843431365166,0.0314226261453306,13,"Decline","Decline"
"12",107,"Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable",-0.00258763340235392,-0.0121519126421941,0.00697664583748623,NA,0.581749648574514,1,"Stable","Stable"
"13",108,"Varied","Stable","Stable","Varied","Stable","Stable","Stable","Stable","Stable","Stable",0.0098987442733661,-4.51169574082443e-05,0.0198426055041404,0.00507349181373242,0.051048564616854,2,"Increase","Stable"
"14",112,"Varied","Stable","Stable","Varied","Stable","Stable","Varied","Varied","Varied","Varied",-0.0129894828375885,-0.0164311658199191,-0.00954779985525783,0.00175599297205368,1.39055213658865e-13,2,"Decline","Decline"
"15",120,"Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable",0.0039382967720459,NA,NA,NA,NA,1,"Stable","Stable"
"16",134,"Increase","Increase","Stable","Increase","Increase","Stable","Increase","Varied","Increase","Stable",0.0240299662005303,0.0132079979372309,0.0348519344638297,0.00552151383834689,1.34863595011774e-05,7,"Increase","Increase"
"17",142,"Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline",-0.164183015623124,-0.258327791515266,-0.0700382397309827,NA,0.0173012497388934,1,"Decline","Decline"
"18",143,"Varied","Stable","Stable","Varied","Stable","Stable","Stable","Stable","Stable","Stable",0.0168055362219065,-0.0106710943643909,0.044282166808204,0.0140189466760765,0.230616183442003,2,"Stable","Stable"
"19",150,"Varied","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable",0.0177295008129129,-0.292168015339368,0.327627016965194,0.158113883008419,0.910719372502634,8,"Stable","Stable"
"20",156,"Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline",-0.131432802166685,-0.199343290724875,-0.0635223136084957,NA,0.00861263643113457,1,"Decline","Decline"
"21",157,"Increase","Increase","Stable","Increase","Increase","Stable","Increase","Increase","Increase","Increase",0.0278801678427161,0.0129603166698871,0.0428000190155451,NA,0.00656898914422116,1,"Increase","Increase"
"22",170,"Increase","Increase","Stable","Increase","Increase","Stable","Stable","Stable","Stable","Stable",0.0276522804873097,NA,NA,NA,NA,1,"Stable","Stable"
"23",172,"Decline","Decline","Stable","Decline","Decline","Stable","Decline","Varied","Decline","Varied",-0.0331982898805343,-0.0588638021140129,-0.00753277764705567,0.0130948897203851,0.0112380068742102,2,"Decline","Decline"
"24",182,"Increase","Stable","Stable","Increase","Stable","Stable","Increase","Increase","Increase","Increase",0.0163585545120275,0.00228098894167384,0.0304361200823811,NA,0.0285960273186989,1,"Increase","Increase"
"25",191,"Increase","Increase","Stable","Increase","Increase","Stable","Increase","Increase","Increase","Increase",0.0344149400220212,0.0118282805136317,0.0570015995304108,NA,0.0224850782369756,1,"Increase","Increase"
"26",374,"Increase","Increase","Stable","Increase","Increase","Stable","Stable","Stable","Stable","Stable",0.0216810491384666,-0.0195661573919623,0.0629282556688955,NA,0.260046887037531,1,"Stable","Stable"
"27",383,"Varied","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable",0.00596849495267954,-0.020017381232863,0.0319543711382221,0.0132583437198417,0.652588607834096,3,"Stable","Stable"
"28",510,"Decline","Stable","Stable","Decline","Stable","Stable","Decline","Decline","Decline","Decline",-0.0197948933769755,-0.0247207348735821,-0.0148690518803689,NA,1.47496249750257e-06,1,"Decline","Decline"
"29",512,"Increase","Increase","Stable","Increase","Increase","Stable","Increase","Increase","Increase","Increase",0.0394077340574648,0.0347149419399951,0.0441005261749345,0.00239432568888297,7.25207800205247e-61,4,"Increase","Increase"
"30",536,"Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase",0.0896452541822173,0.0206922646937284,0.158598243670706,NA,0.0159210015962576,1,"Increase","Increase"
"31",543,"Increase","Increase","Increase","Increase","Increase","Increase","Increase","Stable","Increase","Stable",0.0948647845415611,-0.00392795985275372,0.193657528935876,NA,0.0538905887253371,1,"Increase","Stable"
"32",544,"Increase","Increase","Stable","Increase","Increase","Stable","Increase","Increase","Increase","Increase",0.0223379723575331,0.0130439243445823,0.0316320203704838,NA,0.0016187306937851,1,"Increase","Increase"
"33",545,"Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline",-0.0820932250132093,-0.0867513983527479,-0.0774350516736707,NA,1.95572749266564e-11,1,"Decline","Decline"
"34",591,"Decline","Stable","Stable","Decline","Stable","Stable","Decline","Decline","Decline","Decline",-0.0183588974039795,-0.0304266551116478,-0.00629113969631119,NA,0.0168091966761964,1,"Decline","Decline"
"35",596,"Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase",0.07759920431798,0.031882612100567,0.123315796535393,NA,0.0124363764095606,1,"Increase","Increase"
"36",604,"Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable",-0.0046607301746844,-0.0333623265998035,0.0240408662504347,NA,0.557060469508339,1,"Stable","Stable"
"37",650,"Varied","Stable","Stable","Stable","Stable","Stable","Decline","Varied","Decline","Decline",0.00573511661104735,-0.0128838054306339,0.0243540386527286,0.00949962457909685,0.546029586677247,7,"Stable","Stable"
"38",657,"Decline","Decline","Decline","Decline","Decline","Decline","Stable","Stable","Stable","Stable",-0.0880456295279032,-2.56702610157419,2.39093484251838,NA,0.730123054252553,1,"Stable","Stable"
"39",659,"Varied","Varied","Varied","Stable","Stable","Stable","Stable","Stable","Stable","Stable",-0.0384766843341192,-0.544537209086783,0.467583840418545,0.258198889747161,0.88153820050808,3,"Stable","Stable"
"40",660,"Varied","Stable","Stable","Varied","Stable","Stable","Varied","Stable","Varied","Stable",-0.0122817121400008,-0.0246531645467553,8.97402667536535e-05,0.00631208149962904,0.0516851664913264,2,"Decline","Stable"
"41",661,"Increase","Increase","Increase","Increase","Increase","Increase","Stable","Stable","Stable","Stable",0.09100115339755,NA,NA,NA,NA,1,"Stable","Stable"
"42",662,"Increase","Increase","Stable","Increase","Increase","Stable","Stable","Stable","Stable","Stable",0.0231357817901906,0.00703878586412833,0.0392327777162529,0.00821290393753832,0.00484739486780991,8,"Increase","Increase"
"43",666,"Increase","Increase","Increase","Increase","Increase","Increase","Increase","Stable","Increase","Stable",0.0986318764994356,0.0450811537583063,0.152182599240565,0.0273222993705653,0.000306267188148228,2,"Increase","Increase"
"44",668,"Increase","Increase","Increase","Increase","Increase","Increase","Stable","Stable","Stable","Stable",0.0922130751248779,0.0351572395585987,0.149268910691157,0.0291106551019959,0.00153663546062378,20,"Increase","Increase"
"45",669,"Varied","Varied","Varied","Stable","Stable","Stable","Increase","Varied","Increase","Stable",0.016938176254569,-0.0131014263685628,0.0469777788777008,0.015326609498991,0.269095339679869,3,"Stable","Stable"
