"","scientific_name","taxa_data.kingdom.i.","taxa_data.class.i.","taxa_data.order.i.","RN","original","taxa_data.family.i.","taxa_data.taxonomicStatus.i.","genus","common"
"1","Euphausia superba","Animalia","Malacostraca","Euphausiacea","3751","Euphausia superba","Euphausiidae","accepted name","Euphausia","Animalia"
"2","Arctocephalus gazella","Animalia","Mammalia","Carnivora","3751","Arctocephalus gazella","Otariidae","accepted name","Arctocephalus","Animalia"
"3","Eudyptes chrysolophus","Animalia","Aves","Sphenisciformes","3751","Eudyptes chrysolophus","Spheniscidae","accepted name","Eudyptes","Animalia"
"4","Jasus edwardsii","Animalia","Malacostraca","Decapoda","3026","Jasus edwardsii","Palinuridae","accepted name","Jasus","Animalia"
"5","Evechinus chloroticus","Animalia","Echinoidea","Camarodonta","3026","Evechinus chloroticus","Echinometridae","accepted name","Evechinus","Animalia"
"6","Parapercis colias","Animalia","Actinopterygii","Perciformes","3026","Parapercis colias","Pinguipedidae","accepted name","Parapercis","Animalia"
"7","Pagrus auratus","Animalia","Actinopterygii","Perciformes","3026","Pagrus auratus","Sparidae","accepted name","Pagrus","Animalia"
"8","Cheilodactylus spectabilis","Animalia","Actinopterygii","Perciformes","3026","Cheilodactylus spectabilis","Cheilodactylidae","accepted name","Cheilodactylus","Animalia"
"9","Sparus aurata","Animalia","Actinopterygii","Perciformes","3026","Pagrus auratus","Sparidae","accepted name","Sparus","Animalia"
"10","Calanus finmarchicus","Animalia","Maxillopoda","Calanoida","1520","Calanus finmarchicus","Calanidae","accepted name","Calanus","Calanus"
"11","Calanus finmarchicus","Animalia","Maxillopoda","Calanoida","1520","C. finmarchicus","Calanidae","accepted name","Calanus","Calanus"
"12","Calanus helgolandicus","Animalia","Maxillopoda","Calanoida","2083","Calanus helgolandicus","Calanidae","accepted name","Calanus","Animalia"
"13","Entelurus aequoreus","Animalia","Actinopterygii","Syngnathiformes","2083","Entelurus aequoreus","Syngnathidae","accepted name","Entelurus","Animalia"
"14","Sarcoptes scabiei","Animalia","Arachnida","Astigmata","1649","Sarcoptes scabiei","Sarcoptidae","accepted name","Sarcoptes","Animalia"
"15","Vulpes vulpes","Animalia","Mammalia","Carnivora","1649","Vulpes vulpes","Canidae","accepted name","Vulpes","Animalia"
"16","Sarcoptes scabiei","Animalia","Arachnida","Astigmata","3909","Sarcoptes scabiei","Sarcoptidae","accepted name","Sarcoptes","Animalia"
"17","Vombatus ursinus","Animalia","Mammalia","Diprotodontia","3909","Vombatus ursinus","Vombatidae","accepted name","Vombatus","Animalia"
"18","Trichostrongylus tenuis","Animalia","Secernentea","Strongylida","1640","Trichostrongylus tenuis","Trichostrongylidae","accepted name","Trichostrongylus","Animalia"
"19","Lagopus lagopus","Animalia","Aves","Galliformes","1640","Lagopus lagopus","Phasianidae","accepted name","Lagopus","Animalia"
"20","Eleutherodactylus coqui","Animalia","Amphibia","Anura","1429","Eleutherodactylus coqui","Eleutherodactylidae","accepted name","Eleutherodactylus","Eleutherodactylus"
"21","Eleutherodactylus hedricki","Animalia","Amphibia","Anura","1429","E. hedricki","Eleutherodactylidae","accepted name","Eleutherodactylus","Eleutherodactylus"
"22","Eleutherodactylus richmondi","Animalia","Amphibia","Anura","1429","E. richmondi","Eleutherodactylidae","accepted name","Eleutherodactylus","Eleutherodactylus"
"23","Eleutherodactylus coqui","Animalia","Amphibia","Anura","1954","Eleutherodactylus coqui","Eleutherodactylidae","accepted name","Eleutherodactylus","Eleutherodactylus"
"24","Eleutherodactylus coqui","Animalia","Amphibia","Anura","1954","E. coqui","Eleutherodactylidae","accepted name","Eleutherodactylus","Eleutherodactylus"
"25","Plethodon dunni","Animalia","Amphibia","Caudata","4488","Plethodon dunni","Plethodontidae","accepted name","Plethodon","Caudata"
"26","Plethodon vehiculum","Animalia","Amphibia","Caudata","4488","Plethodon vehiculum","Plethodontidae","accepted name","Plethodon","Caudata"
"27","Ensatina eschscholtzii","Animalia","Amphibia","Caudata","4488","Ensatina eschscholtzii","Plethodontidae","accepted name","Ensatina","Caudata"
"28","Ambystoma gracile","Animalia","Amphibia","Caudata","4488","Ambystoma gracile","Ambystomatidae","accepted name","Ambystoma","Caudata"
"29","Dicamptodon tenebrosus","Animalia","Amphibia","Caudata","4488","Dicamptodon tenebrosus","Ambystomatidae","accepted name","Dicamptodon","Caudata"
"30","Rhyacotriton kezeri","Animalia","Amphibia","Caudata","4488","Rhyacotriton kezeri","Rhyacotritonidae","accepted name","Rhyacotriton","Caudata"
"31","Taricha granulosa","Animalia","Amphibia","Caudata","4488","Taricha granulosa","Salamandridae","accepted name","Taricha","Caudata"
"32","Bufo bufo","Animalia","Amphibia","Anura","1292","Bufo bufo","Bufonidae","accepted name","Bufo","Amphibia"
"33","Triturus cristatus","Animalia","Amphibia","Caudata","1292","Triturus cristatus","Salamandridae","accepted name","Triturus","Amphibia"
"34","Bufo bufo","Animalia","Amphibia","Anura","1294","Bufo bufo","Bufonidae","accepted name","Bufo","Bufo bufo"
"35","Bufo bufo","Animalia","Amphibia","Anura","1295","Bufo bufo","Bufonidae","accepted name","Bufo","Bufo bufo"
"36","Bufo bufo","Animalia","Amphibia","Anura","4016","Bufo bufo","Bufonidae","accepted name","Bufo","Anura"
"37","Rana temporaria","Animalia","Amphibia","Anura","4016","Rana temporaria","Ranidae","accepted name","Rana","Anura"
"38","Rana arvalis","Animalia","Amphibia","Anura","4016","R. arvalis","Ranidae","accepted name","Rana","Anura"
"39","Atelopus zeteki","Animalia","Amphibia","Anura","4248","Atelopus zeteki","Bufonidae","accepted name","Atelopus","Atelopus"
"40","Atelopus varius","Animalia","Amphibia","Anura","4248","A. varius","Bufonidae","accepted name","Atelopus","Atelopus"
"41","Atelopus zeteki","Animalia","Amphibia","Anura","4248","A. zeteki","Bufonidae","accepted name","Atelopus","Atelopus"
"42","Adenomus kandianus","Animalia","Amphibia","Anura","4046","Adenomus kandianus","Bufonidae","accepted name","Adenomus","Adenomus"
"43","Adenomus kandianus","Animalia","Amphibia","Anura","4046","A. kandianus","Bufonidae","accepted name","Adenomus","Adenomus"
"44","Rhinella marina","Animalia","Amphibia","Anura","3957","Rhinella marina","Bufonidae","accepted name","Rhinella","Rhinella marina"
"45","Craugastor ranoides","Animalia","Amphibia","Anura","4114","Craugastor ranoides","Craugastoridae","accepted name","Craugastor","Craugastor"
"46","Craugastor rugulosus","Animalia","Amphibia","Anura","4114","Craugastor rugulosus","Craugastoridae","accepted name","Craugastor","Craugastor"
"47","Craugastor ranoides","Animalia","Amphibia","Anura","4114","C. ranoides","Craugastoridae","accepted name","Craugastor","Craugastor"
"48","Hemisus marmoratus","Animalia","Amphibia","Anura","2394","Hemisus marmoratus","Hemisotidae","accepted name","Hemisus","Hemisus marmoratus"
"49","Ambystoma talpoideum","Animalia","Amphibia","Caudata","1273","Ambystoma talpoideum","Ambystomatidae","accepted name","Ambystoma","Ambystoma talpoideum"
